#iteracion,cantidad clocks
1,125381715
2,125068772
3,125113866
4,125915820
5,125877329
6,127386183
7,124567718
8,124036171
9,127219178
10,125893185
11,124051064
12,124357014
13,123352422
14,124656147
15,124380778
16,124777582
17,124566407
18,124667574
19,125529359
20,124825629
21,124366460
22,123925491
23,123843027
24,125215463
25,124474167
26,123396962
27,123444951
28,124315438
29,123447844
30,124299500
31,124213255
32,123408175
33,123799105
34,123300316
35,125039735
36,126034126
37,125901590
38,128429705
39,126505266
40,126468603
41,127406579
42,127656320
43,126661649
44,126624108
45,127811241
46,126440455
47,126390106
48,125781396
49,125817632
50,126334493
51,125722961
52,127040894
53,127387890
54,125375661
55,124892688
56,123053186
57,124730429
58,125532256
59,123385276
60,124279007
61,124652462
62,126396877
63,124043439
64,123747398
65,125862798
66,124342864
67,126435900
68,126510918
69,125431205
70,123383797
71,125723166
72,125921538
73,124362445
74,123347058
75,124395462
76,123326230
77,125747146
78,124424730
79,124186873
80,124701479
81,124784643
82,124386439
83,124500191
84,124699536
85,125353254
86,123468752
87,124679907
88,123052825
89,124382166
90,124819979
91,124452977
92,124686635
93,124355623
94,124401039
95,124655155
96,125804312
97,124861394
98,125170707
99,123491390
100,123454507
